question,course,document
What is the exact date and time the course starts?,data-engineering-zoomcamp,c02e79ef
Will the course begin with a live session and what will that session be?,data-engineering-zoomcamp,c02e79ef
How do I subscribe to the course calendar and are there any desktop-only restrictions?,data-engineering-zoomcamp,c02e79ef
Where and how should I register for the course before it begins?,data-engineering-zoomcamp,c02e79ef
"Which channels should I join to receive announcements and participate in course discussions (e.g., Telegram, Slack)?",data-engineering-zoomcamp,c02e79ef
What prior knowledge do I need before starting this course?,data-engineering-zoomcamp,1f6520ca
Are there any required skills or tools I should know beforehand?,data-engineering-zoomcamp,1f6520ca
"Do I need experience with Python, SQL, or Git to enroll in this course?",data-engineering-zoomcamp,1f6520ca
Where can I find the list of course prerequisites?,data-engineering-zoomcamp,1f6520ca
Is prior data engineering experience expected for students taking this course?,data-engineering-zoomcamp,1f6520ca
Can I enroll in the course after it has already started?,data-engineering-zoomcamp,7842b56a
"If I don't formally register, can I still turn in homework assignments?",data-engineering-zoomcamp,7842b56a
Are there firm submission deadlines for the final project I should be aware of?,data-engineering-zoomcamp,7842b56a
Will joining late prevent me from submitting homework or project work?,data-engineering-zoomcamp,7842b56a
What happens if I wait until the last minute to complete the final project?,data-engineering-zoomcamp,7842b56a
Do I need to wait for a confirmation email before starting the bootcamp?,data-engineering-zoomcamp,0bbf41ec
Must I register to submit homework or access course materials?,data-engineering-zoomcamp,0bbf41ec
Will the course check participants against a registration list during the program?,data-engineering-zoomcamp,0bbf41ec
"If registration isn't required, what purpose does it serve?",data-engineering-zoomcamp,0bbf41ec
Can I begin studying right away even if I didn't register before the start date?,data-engineering-zoomcamp,0bbf41ec
Which tools do I need installed before the course starts?,data-engineering-zoomcamp,63394d91
Do I have to set up a Google Cloud account before class begins?,data-engineering-zoomcamp,63394d91
Is installing Python 3 via Anaconda mandatory or can I use another Python installation?,data-engineering-zoomcamp,63394d91
Should I install Terraform and Git now and will they be used in coursework?,data-engineering-zoomcamp,63394d91
Where can I review the course prerequisites and syllabus before the course?,data-engineering-zoomcamp,63394d91
How many Zoomcamp cohorts are offered each year across all programs?,data-engineering-zoomcamp,2ed9b986
"Are the Zoomcamps run separately for Data Engineering, MLOps, and Machine Learning, and when does each typically take place?",data-engineering-zoomcamp,2ed9b986
Is there only one live Data-Engineering cohort per year that leads to the certificate?,data-engineering-zoomcamp,2ed9b986
Do the different Zoomcamp cohorts follow the same schedule each time?,data-engineering-zoomcamp,2ed9b986
"If I do not want the certificate, can I take any Zoomcamp self-paced outside the live cohort timeline?",data-engineering-zoomcamp,2ed9b986
Will the current cohort be different from the previous cohort?,data-engineering-zoomcamp,93e2c8ed
Which workflow/orchestration tool will the 2024 cohort use?,data-engineering-zoomcamp,93e2c8ed
Were the Terraform videos re-recorded for the 2024 edition?,data-engineering-zoomcamp,93e2c8ed
What tool did the 2023 cohort use instead of Airflow?,data-engineering-zoomcamp,93e2c8ed
What specific updates were made between the 2023 and 2024 editions?,data-engineering-zoomcamp,93e2c8ed
"Will I retain access to lecture videos, slides, and other materials once the course ends?",data-engineering-zoomcamp,a482086d
Can I continue working on assignments and prepare for the next cohort after the course is over?,data-engineering-zoomcamp,a482086d
Am I allowed to complete the curriculum at my own pace after the program finishes?,data-engineering-zoomcamp,a482086d
Can I start or keep developing my final capstone project after the course concludes?,data-engineering-zoomcamp,a482086d
Will past homeworks and assignments remain available for review after the course closes?,data-engineering-zoomcamp,a482086d
"If I take the course self-paced, will I still be able to get support from the staff?",data-engineering-zoomcamp,eb56ae98
Is there a Slack channel available for self-paced students to ask questions?,data-engineering-zoomcamp,eb56ae98
Should I search the Slack channel and the FAQ before posting a question?,data-engineering-zoomcamp,eb56ae98
How can I use the @ZoomcampQABot to help find answers in Slack?,data-engineering-zoomcamp,eb56ae98
Can I trust the bot's answers completely or should I verify them?,data-engineering-zoomcamp,eb56ae98
Which YouTube playlist contains the main course videos?,data-engineering-zoomcamp,4292531b
Are there year-specific playlists for extra videos such as office hours?,data-engineering-zoomcamp,4292531b
Does the course GitHub repository link directly to the playlist with thumbnails?,data-engineering-zoomcamp,4292531b
Is the main playlist pinned in the Slack channel and where can I find it?,data-engineering-zoomcamp,4292531b
Should I rely on the main playlist for lectures or follow year playlists for additional content?,data-engineering-zoomcamp,4292531b
What's the expected weekly time commitment for this course?,data-engineering-zoomcamp,ea739c65
Which personal factors determine whether I need more or less weekly time?,data-engineering-zoomcamp,ea739c65
How do I calculate my own expected hours using the provided data?,data-engineering-zoomcamp,ea739c65
"If I already have experience with some modules, how will that affect my weekly workload?",data-engineering-zoomcamp,ea739c65
Can I update the course's estimated weekly hours after I compute my personal estimate?,data-engineering-zoomcamp,ea739c65
"If I complete the course self-paced, can I still earn a certificate?",data-engineering-zoomcamp,cb257ee5
Why are certificates only awarded to students who finish with a live cohort?,data-engineering-zoomcamp,cb257ee5
Is there any way to get a certificate by submitting my project and doing peer reviews after a self-paced run?,data-engineering-zoomcamp,cb257ee5
Could I join a later live cohort just to perform peer reviews and receive the certificate?,data-engineering-zoomcamp,cb257ee5
When are peer-review periods open and must the course be actively running for me to peer-review capstones?,data-engineering-zoomcamp,cb257ee5
How can I watch the office-hour livestream if I don't have the instructor Zoom link?,data-engineering-zoomcamp,04aa4897
Where will the live session's video URL be posted before it starts?,data-engineering-zoomcamp,04aa4897
What is the recommended way to submit questions during a live workshop?,data-engineering-zoomcamp,04aa4897
Will posting my question in the chat be reliable when many viewers are present?,data-engineering-zoomcamp,04aa4897
Which platform will display the session video when the instructor goes live?,data-engineering-zoomcamp,04aa4897
Will office hours be recorded if I can’t attend?,data-engineering-zoomcamp,9681be3b
Are workshop sessions posted for later viewing?,data-engineering-zoomcamp,9681be3b
"If I miss a live office hours session, when will the recording be available?",data-engineering-zoomcamp,9681be3b
Can I rewatch past office hours recordings at any time?,data-engineering-zoomcamp,9681be3b
How soon after the live session is the recording uploaded?,data-engineering-zoomcamp,9681be3b
Where can I find the up-to-date deadlines for homework and projects?,data-engineering-zoomcamp,a1daf537
How will I be notified if a deadline is extended or changed?,data-engineering-zoomcamp,a1daf537
"If the spreadsheet, announcements, and the form show different dates, which source should I trust?",data-engineering-zoomcamp,a1daf537
Who posts deadline updates — the instructors or @Au-Tomator?,data-engineering-zoomcamp,a1daf537
Is there a single link or place I should check regularly for deadline changes?,data-engineering-zoomcamp,a1daf537
Am I allowed to submit homework after the deadline?,data-engineering-zoomcamp,be5bfee4
"If the submission form stays open past the due date, will my upload be accepted?",data-engineering-zoomcamp,be5bfee4
How can I verify the timestamp of my submission on the course page?,data-engineering-zoomcamp,be5bfee4
What should I do if the form is closed when I try to submit after the deadline?,data-engineering-zoomcamp,be5bfee4
Where can I find older announcements or sources about submission rules?,data-engineering-zoomcamp,be5bfee4
Which URL should I put in the homework submission so reviewers can see my code — my repo or another location?,data-engineering-zoomcamp,0e424a44
"Is it acceptable to submit a private repository URL, or does the grader need public access to view my work?",data-engineering-zoomcamp,0e424a44
Can I provide a zipped project or a cloud-drive link instead of a hosting-service repository URL?,data-engineering-zoomcamp,0e424a44
"If my solutions are spread across multiple repositories, which link should I supply so the grader can review everything?",data-engineering-zoomcamp,0e424a44
Do I need to link a specific branch or commit to demonstrate my weekly progress?,data-engineering-zoomcamp,0e424a44
How are homework points awarded — is it based on the number of questions in the assignment?,data-engineering-zoomcamp,29865466
Where on the homework page can I see the points I earned for a submission?,data-engineering-zoomcamp,29865466
What items are summed to produce my total on the leaderboard?,data-engineering-zoomcamp,29865466
How many points does submitting something to the FAQ give me?,data-engineering-zoomcamp,29865466
How many points do I get for each Learning in Public link I submit?,data-engineering-zoomcamp,29865466
I'm not on the leaderboard — how can I find which name my account is listed under?,data-engineering-zoomcamp,016d46a1
Where on the course site can I view the auto-assigned account name?,data-engineering-zoomcamp,016d46a1
How can I change the name that appears on the leaderboard?,data-engineering-zoomcamp,016d46a1
Do I need to sign in and which page should I visit to edit my course profile and shown name?,data-engineering-zoomcamp,016d46a1
